Output of `python main.py --cuda --epochs 6 --data ../../../visdial_text --model GRU --save model_gru_6.pt 2>&1 | tee model_gru_6.txt`:
| epoch   3 |  9200/15891 batches | lr 20.00 | ms/batch 62.49 | loss  3.89 | ppl    48.94
| epoch   3 |  9400/15891 batches | lr 20.00 | ms/batch 62.39 | loss  3.92 | ppl    50.45
| epoch   3 |  9600/15891 batches | lr 20.00 | ms/batch 62.46 | loss  3.92 | ppl    50.16
| epoch   3 |  9800/15891 batches | lr 20.00 | ms/batch 62.43 | loss  3.90 | ppl    49.49
| epoch   3 | 10000/15891 batches | lr 20.00 | ms/batch 62.43 | loss  3.90 | ppl    49.64
| epoch   3 | 10200/15891 batches | lr 20.00 | ms/batch 62.22 | loss  3.89 | ppl    48.88
| epoch   3 | 10400/15891 batches | lr 20.00 | ms/batch 61.96 | loss  3.89 | ppl    49.09
| epoch   3 | 10600/15891 batches | lr 20.00 | ms/batch 61.96 | loss  3.93 | ppl    50.74
| epoch   3 | 10800/15891 batches | lr 20.00 | ms/batch 61.73 | loss  3.90 | ppl    49.52
| epoch   3 | 11000/15891 batches | lr 20.00 | ms/batch 61.65 | loss  3.94 | ppl    51.40
| epoch   3 | 11200/15891 batches | lr 20.00 | ms/batch 61.62 | loss  3.94 | ppl    51.23
| epoch   3 | 11400/15891 batches | lr 20.00 | ms/batch 61.68 | loss  3.90 | ppl    49.36
| epoch   3 | 11600/15891 batches | lr 20.00 | ms/batch 61.67 | loss  3.89 | ppl    49.01
| epoch   3 | 11800/15891 batches | lr 20.00 | ms/batch 61.62 | loss  3.90 | ppl    49.41
| epoch   3 | 12000/15891 batches | lr 20.00 | ms/batch 61.65 | loss  3.88 | ppl    48.41
| epoch   3 | 12200/15891 batches | lr 20.00 | ms/batch 61.66 | loss  3.88 | ppl    48.63
| epoch   3 | 12400/15891 batches | lr 20.00 | ms/batch 61.71 | loss  3.84 | ppl    46.72
| epoch   3 | 12600/15891 batches | lr 20.00 | ms/batch 61.75 | loss  3.87 | ppl    48.14
| epoch   3 | 12800/15891 batches | lr 20.00 | ms/batch 61.75 | loss  3.88 | ppl    48.41
| epoch   3 | 13000/15891 batches | lr 20.00 | ms/batch 61.80 | loss  3.88 | ppl    48.66
| epoch   3 | 13200/15891 batches | lr 20.00 | ms/batch 61.80 | loss  3.90 | ppl    49.31
| epoch   3 | 13400/15891 batches | lr 20.00 | ms/batch 61.83 | loss  3.90 | ppl    49.17
| epoch   3 | 13600/15891 batches | lr 20.00 | ms/batch 61.77 | loss  3.86 | ppl    47.33
| epoch   3 | 13800/15891 batches | lr 20.00 | ms/batch 61.80 | loss  3.87 | ppl    48.03
| epoch   3 | 14000/15891 batches | lr 20.00 | ms/batch 61.81 | loss  3.91 | ppl    50.11
| epoch   3 | 14200/15891 batches | lr 20.00 | ms/batch 61.69 | loss  3.83 | ppl    46.20
| epoch   3 | 14400/15891 batches | lr 20.00 | ms/batch 61.68 | loss  3.88 | ppl    48.24
| epoch   3 | 14600/15891 batches | lr 20.00 | ms/batch 61.60 | loss  3.87 | ppl    48.13
| epoch   3 | 14800/15891 batches | lr 20.00 | ms/batch 61.66 | loss  3.87 | ppl    47.96
| epoch   3 | 15000/15891 batches | lr 20.00 | ms/batch 61.68 | loss  3.91 | ppl    49.99
| epoch   3 | 15200/15891 batches | lr 20.00 | ms/batch 61.67 | loss  3.91 | ppl    49.70
| epoch   3 | 15400/15891 batches | lr 20.00 | ms/batch 61.60 | loss  3.87 | ppl    48.04
| epoch   3 | 15600/15891 batches | lr 20.00 | ms/batch 61.63 | loss  3.87 | ppl    47.81
| epoch   3 | 15800/15891 batches | lr 20.00 | ms/batch 61.61 | loss  3.93 | ppl    50.92
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 994.31s | valid loss  4.44 | valid ppl    85.04
-----------------------------------------------------------------------------------------
| epoch   4 |   200/15891 batches | lr 5.00 | ms/batch 61.92 | loss  3.95 | ppl    51.70
| epoch   4 |   400/15891 batches | lr 5.00 | ms/batch 61.59 | loss  3.87 | ppl    47.97
| epoch   4 |   600/15891 batches | lr 5.00 | ms/batch 61.52 | loss  3.84 | ppl    46.66
| epoch   4 |   800/15891 batches | lr 5.00 | ms/batch 61.65 | loss  3.81 | ppl    45.06
| epoch   4 |  1000/15891 batches | lr 5.00 | ms/batch 61.57 | loss  3.78 | ppl    43.93
| epoch   4 |  1200/15891 batches | lr 5.00 | ms/batch 61.60 | loss  3.82 | ppl    45.57
| epoch   4 |  1400/15891 batches | lr 5.00 | ms/batch 61.59 | loss  3.79 | ppl    44.29
| epoch   4 |  1600/15891 batches | lr 5.00 | ms/batch 61.59 | loss  3.80 | ppl    44.64
| epoch   4 |  1800/15891 batches | lr 5.00 | ms/batch 61.61 | loss  3.73 | ppl    41.87
| epoch   4 |  2000/15891 batches | lr 5.00 | ms/batch 61.56 | loss  3.77 | ppl    43.35
| epoch   4 |  2200/15891 batches | lr 5.00 | ms/batch 61.56 | loss  3.81 | ppl    45.35
| epoch   4 |  2400/15891 batches | lr 5.00 | ms/batch 61.62 | loss  3.78 | ppl    44.02
| epoch   4 |  2600/15891 batches | lr 5.00 | ms/batch 61.56 | loss  3.72 | ppl    41.37
| epoch   4 |  2800/15891 batches | lr 5.00 | ms/batch 61.64 | loss  3.76 | ppl    42.91
| epoch   4 |  3000/15891 batches | lr 5.00 | ms/batch 61.59 | loss  3.81 | ppl    45.04
| epoch   4 |  3200/15891 batches | lr 5.00 | ms/batch 61.54 | loss  3.80 | ppl    44.50
